team,opponent,odds,edge,side
Cleveland Guardians,Boston Red Sox,-109.0,9.934985190248346,Home
Detroit Tigers,Baltimore Orioles,-182.0,1.594326241134758,Home
Minnesota Twins,Los Angeles Angels,-144.0,31.78360655737704,Home
St. Louis Cardinals,Milwaukee Brewers,-110.0,12.469047619047611,Home
Colorado Rockies,Cincinnati Reds,132.0,-0.1034482758620669,Home
New York Mets,Washington Nationals,-147.0,4.285829959514176,Away
Texas Rangers,San Francisco Giants,116.0,26.053703703703697,Away
Chicago Cubs,Philadelphia Phillies,102.0,39.09504950495049,Home
Chicago White Sox,Athletics,,,Away
Kansas City Royals,Houston Astros,118.0,39.12844036697247,Home
Atlanta Braves,Arizona Diamondbacks,-109.0,34.84688995215311,Away
Tampa Bay Rays,San Diego Padres,107.0,37.690821256038646,Away
Pittsburgh Pirates,Los Angeles Dodgers,265.0,61.6027397260274,Away
Miami Marlins,Seattle Mariners,136.0,2.043785310734464,Away
Toronto Blue Jays,New York Yankees,153.0,46.47430830039526,Away
